Champ;Position_Spec;Longueur;Index_Base0;Valeur_1;Valeur_2
IAE_Preav_Nonpay;752;1;751;;
IAE_Dated_Npaye;753;8;752;        ;        
IAE_Datef_Npaye;761;8;760;        ;        
IAE_Coderegimess;769;3;768;999;999
IAE_Affiliation;772;4;771;    ;    
IAE_Alsace;776;2;775;  ;  
IAE_Cat_Emppart;778;2;777;M0;M0
IAE_Period_Trav;780;1;779;0;0
IAE_Duree_TravS;781;7;780;0151670;0151670
IAE_Duree_TravE;788;7;787;0151670;0151670
IAE_Cdd_Cdi;795;2;794;2  ;2  
IAE_Stat_Partic;797;2;796;  ;  
IAE_ContratTp;799;2;798;35;35
IAE_Anciennete;801;4;800;0000;0000
IAE_Motifrupt;805;3;804;000;000
IAE_Icpreavis;808;10;807;         ;         
IAE_Jours_Ouv;818;5;817;     ;     
IAE_Cp_Solde;823;5;822;00000;00000
IAE_Ncaisprof;828;2;827;NB;NB
IAE_Transaction;830;2;829;20;20
IAE_Doute;832;2;831;26;26
IAE7_3_Dated_Paie;834;8;833;04230260;04230260
IAE7_3_Datef_Paie;842;8;841;26050120;26050120
IAE7_3_Date_Paie;850;8;849;26043020;26043020
IAE7_3_Unitet_Hj;858;2;857;26;26
IAE7_3_Heurest;860;6;859;043020;;
IAE7_3_Sig_Salair;866;1;865;;;
IAE7_3_Salbrut;867;11;866;;;
IAE_Pav7_3;878;600;877;;
IAE_Dernjour_Tr;1478;8;1477;99264942;99264942
IAE_IndForFaitReel;1486;1;1485;0;0
IAE_IndBrutNet;1487;1;1486;7;7
IAE7_1_Dated_Paie;1488;8;1487;54012026;54012026
IAE7_1_Datef_Paie;1496;8;1495;07220   ;07220   
IAE7_1_Date_Paie;1504;8;1503;39560000;39560000
IAE7_1_Unitet_Hj;1512;2;1511;;;
IAE7_1_Heurest;1514;6;1513;;
IAE7_1_Np_Hj;1520;2;1519;;
IAE7_1_Joursnp;1522;6;1521;;
IAE7_1_Sig_Salair;1528;1;1527;;
IAE7_1_Salbrut;1529;11;1528;;
IAE7_1_Unitet_Hj2;1540;1;1539;;
IAE7_1_Heurest_2;1541;6;1540;;
IAE7_1_Unitet_Hj3;1547;1;1546;;
IAE7_1_Heurest_3;1548;6;1547;;
IAE_Pav7_2;1554;600;1553;;
IAE_ETT_IFM;2154;9;2153;;
IAE_ETT_ICCP;2163;9;2162;;
IAE_ETT_CET;2172;9;2171;;
IAE_Lignes_NWS;2181;3;2180;992;992
IAE_REJET;2184;3;2183;649;649
IAE_Lot;2187;3;2186;420;420
IAE_Recno;2190;3;2189;754;754
IAE_DateTrait;2193;8;2192;12026072;12026072
IAE_HeureTrait;2201;6;2200;20     ;20     
IAE_NomLot;2207;8;2206;       ;       
IAE_DateGFE;2215;8;2214;       ;       
IAE_HeureGFE;2223;6;2222;       ;       
IAE_Trait;2229;1;2228;;
IAE_Cesu;2230;15;2229;;;
IAE_Pajemploi;2245;15;2244;;;
IAE_EmployeurNom;2260;80;2259;;
IAE_EmployeurPre;2340;30;2339;;
IAE_SPC_DateD;2370;6;2369;;
IAE_SPC_DateF;2376;6;2375;;
IAE_SPC_Heures;2382;6;2381;;
IAE_SPC_SalBrut;2388;11;2387;;
IAE_SPC_IFM;2399;9;2398;;
IAE_SPC_ICCP;2408;9;2407;;
IAE_SPC_Ecran;2417;1;2416;;
IAE_Reserv;2418;12;2417;;
IAE_ID_DOC;2430;13;2429;;
IAE_DateInitFCD;2443;8;2442;;
IAE_NumContratCDDU;2451;20;2450;;
IAE_DATE_ARRIVE;2471;8;2470;;
IAE_FILLER2;2479;48;2478;;
IAE_MODELE_AE;2527;1;2526;;
IAE_CPEMPLOYEUR;2528;5;2527;;
IAE_TYPE_AE;2533;1;2532;;
IAE_TYPE_PRIME;2534;1;2533;;
IAE_ENDOCE;2535;32;2534;;
IAE_PERIODESUSPENSION;2567;760;2566;;
